bairro;estab_2000;hab_2000;estab_2010;hab_2010;idhm_2000;idhm_2010;renda_2000;renda_2010;;
AGRONOMIA;9;12431;18;13817;0,626;0,719;493,05;623,38;;
ANCHIETA;43;1281;139;582;0,637;0,736;600,32;818,43;;
ARQUIPELAGO;5;7619;7;833;0,547;0,681;517,45;846,68;;
AUXILIADORA;29;9985;103;9683;0,866;0,947;2916,92;3792,29;;
AZENHA;104;10475;281;1018;0,813;0,878;1603,68;2152,15;;
BELA VISTA;7;10097;18;11128;0,924;0,958;4822,42;7216,42;;
BELEM NOVO;33;13787;50;15833;0,648;0,719;503,44;623,38;;
BELEM VELHO;5;8455;20;10835;0,539;0,654;498,14;727,98;;
BOA VISTA;7;9368;41;875;0,903;0,958;3005,64;4403,05;;
BOM FIM;14;9368;72;945;0,897;0,94;2657,68;3591,85;;
BOM JESUS;20;31215;36;28738;0,708;0,817;1792,36;2152,15;;
CAMAQUA;31;22009;83;19313;0,637;0,736;649,74;1012,04;;
CAMPO NOVO;3;7404;7;6962;0,644;0,734;656,3;846,68;;
CASCATA;5;27301;6;22596;0,583;0,654;503,44;727,98;;
CAVALHADA;59;15403;135;13425;0,78;0,845;1163,23;1451,48;;
CEL. APARICIO BORGES;0;14992;3;17494;0,547;0,646;395,84;489,26;;
CENTRO HISTORICO;311;36893;936;39154;0,884;0,914;2505,59;2632,73;;
CHACARA DAS PEDRAS;13;5924;30;6668;0,903;0,958;3005,64;4403,05;;
CHAPEU DO SOL;1;2620;3;23;0,453;0,643;271,37;499,5;;
CIDADE BAIXA;62;18146;215;1845;0,875;0,932;2242,88;2586,31;;
CRISTAL;32;29943;104;27661;0,738;0,808;2122,6;2910,87;;
CRISTO REDENTOR;63;15505;125;15801;0,852;0,868;1726,89;2202,5;;
ESPIRITO SANTO;19;5734;33;5606;0,73;0,816;2364,92;3591,85;;
FARRAPOS;10;17083;30;18986;0,453;0,61;1163,23;1515,14;;
FARROUPILHA;10;1101;26;961;0,91;0,927;2932,18;3417,25;;
FLORESTA;79;15493;204;16085;0,835;0,878;1792,36;2152,15;;
GLORIA;45;8631;81;8855;0,816;0,853;1447,86;1669,56;;
GUARUJA;10;4390;11;5971;0,827;0,871;2932,18;3417,25;;
HIGIENOPOLIS;11;9096;36;10724;0,898;0,953;3170,66;3931,41;;
HIPICA;18;11786;37;20237;0,536;0,646;369,07;489,26;;
HUMAITA;28;10293;71;11404;0,536;0,646;369,07;489,26;;
INDEPENDENCIA;22;11327;91;10828;0,863;0,925;4168,82;7216,42;;
IPANEMA;72;20884;156;22726;0,863;0,906;2318,72;2910,87;;
JARDIM SAO PEDRO;11;5510;38;529;0,835;0,871;1699,76;2028,95;;
JARDIM BOTANICO;29;11494;78;12521;0,843;0,906;1994,47;2910,87;;
JARDIM CARVALHO;16;25076;30;25323;0,514;0,654;737,7;899,92;;
JARDIM DO SALSO;6;3715;19;4405;0,813;0,887;2122,6;3591,85;;
JARDIM FLORESTA;7;4078;23;3499;0,669;0,736;981,57;1244,93;;
JARDIM ITU;11;7569;25;8325;0,708;0,817;837,05;1244,93;;
JARDIM LINDOIA;30;7932;55;8071;0,91;0,927;2932,18;3417,25;;
JARDIM SABARA;16;14785;36;13471;0,78;0,846;1163,23;1515,14;;
LAGEADO;1;6476;1;7885;0,629;0,681;527,06;610,25;;
LAMI;6;3493;7;4642;0,539;0,654;369,82;544,22;;
LOMBA DO PINHEIRO;12;42653;34;48498;0,615;0,714;498,14;727,62;;
MARIO QUINTANA;8;29066;16;37234;0,453;0,593;448,29;610,25;;
MEDIANEIRA;18;10663;63;9903;0,835;0,887;1699,76;2371,03;;
MENINO DEUS;113;30792;228;3165;0,898;0,927;2676,33;3264,67;;
MOINHOS DE VENTO;64;8067;200;7264;0,934;0,958;4641;7216,42;;
MONT 'SERRAT;13;10236;57;11236;0,903;0,958;3005,64;4403,05;;
MORRO SANTANA;30;19236;55;18852;0,703;0,761;1163,23;1451,48;;
NAVEGANTES;51;4160;163;4011;0,738;0,808;981,57;1220,08;;
NONOAI;32;21826;59;20296;0,78;0,846;1163,23;1515,14;;
PARTENON;74;47750;221;45707;0,503;0,619;1020,02;1220,08;;
PASSO D'AREIA;61;20385;147;21364;0,822;0,871;2932,18;3417,25;;
PASSO DAS PEDRAS;25;24549;37;25896;0,637;0,716;1097,2;1595,35;;
PETROPOLIS;61;34593;173;38155;0,91;0,947;837,05;1244,93;;
PONTA GROSSA;1;3290;6;4213;0,667;0,734;981,57;1220,08;;
PRAIA DE BELAS;20;1869;58;2117;0,91;0,927;2932,18;3417,25;;
RESTINGA;33;54993;56;60729;0,495;0,61;278,23;414,6;;
RIO BRANCO;43;16132;123;17531;0,911;0,953;4641;7216,42;;
RUBEM BERTA;78;68286;120;74522;0,708;0,816;736,22;899,92;;
SANTA CECILIA;23;5800;46;5768;0,863;0,94;2318,72;3591,85;;
SANTA MARIA GORETTI;20;3922;62;332;0,804;0,846;1169,01;1515,14;;
SANTA TEREZA;25;59412;52;55505;0,738;0,808;981,57;1220,08;;
SANTANA;76;25028;212;24638;0,889;0,92;2619,6;2955,83;;
SANTO ANTONIO;20;15003;47;13714;0,835;0,888;1466,5;1883,02;;
SAO GERALDO;99;9135;274;8706;0,794;0,851;1288,41;1680,17;;
SAO JOAO;65;18855;149;14544;0,897;0,925;1425,58;2028,95;;
SAO SEBASTIAO;25;6961;64;10164;0,918;0,805;1447,86;2371,03;;
SARANDI;189;90120;389;91366;0,794;0,868;1288,41;2202,5;;
TERESOPOLIS;29;9837;51;12766;0,821;0,884;1399,6;2185,42;;
TRES FIGUEIRAS;13;3657;41;407;0,924;0,958;4822,42;7216,42;;
TRISTEZA;49;14837;130;15396;0,863;0,925;2364,92;3371,41;;
VILA ASSUNCAO;3;4096;10;4418;0,903;0,953;3005,64;3931,41;;-
VILA CONCEICAO;4;1467;6;1349;0,903;0,953;3005,64;3931,41;;
VILA IPIRANGA;64;20951;175;20958;0,835;0,888;1466,5;1883,02;;
VILA JARDIM;18;15361;60;12782;0,803;0,853;837,8;1012,04;;
SAO JOSE;31;30406;50;30073;0,816;0,887;527,06;713,05;;
VILA JOAO PESSOA;23;12641;37;11935;0,738;0,808;527,06;662,53;;
